Pos,Team,P, ,W,D,L,GF,GA, ,W,D,L,GF,GA, ,GD,Pts,match-date
1,Arsenal,5, ,3,0,0,8,4, ,2,0,0,5,0, ,9,15,2022-Sep-01
2,Manchester City,5, ,3,0,0,14,2, ,1,1,0,5,3, ,14,13,2022-Sep-01
3,Tottenham Hotspur,5, ,2,0,0,5,1, ,1,2,0,5,3, ,6,11,2022-Sep-01
4,Brighton and Hove Albion,5, ,1,1,0,1,0, ,2,0,1,5,3, ,3,10,2022-Sep-01
5,Liverpool,5, ,2,1,0,12,2, ,0,1,1,3,4, ,9,8,2022-Sep-01
6,Leeds United,5, ,2,1,0,6,2, ,0,1,1,2,3, ,3,8,2022-Sep-01
7,Fulham,5, ,2,1,0,7,5, ,0,1,1,1,2, ,1,8,2022-Sep-01
8,Southampton,5, ,1,1,1,4,4, ,1,0,1,3,5, ,-2,7,2022-Sep-01
9,Chelsea,5, ,1,1,0,4,3, ,1,0,2,2,5, ,-2,7,2022-Sep-01
10,Brentford,5, ,1,1,0,5,1, ,0,2,1,5,6, ,3,6,2022-Sep-01
11,Newcastle United,5, ,1,1,0,5,3, ,0,2,1,2,3, ,1,6,2022-Sep-01
12,Manchester United,4, ,1,0,1,3,3, ,1,0,1,1,4, ,-3,6,2022-Sep-01
13,Crystal Palace,5, ,1,1,1,4,4, ,0,1,1,3,5, ,-2,5,2022-Sep-01
14,West Ham United,5, ,0,1,2,1,5, ,1,0,1,1,1, ,-4,4,2022-Sep-01
15,Nottingham Forest,5, ,1,0,1,1,2, ,0,1,2,1,9, ,-9,4,2022-Sep-01
16,AFC Bournemouth,5, ,1,1,1,2,3, ,0,0,2,0,13, ,-14,4,2022-Sep-01
17,Everton,5, ,0,1,1,1,2, ,0,2,1,3,4, ,-2,3,2022-Sep-01
18,Wolverhampton Wanderers,5, ,0,2,0,1,1, ,0,1,2,1,3, ,-2,3,2022-Sep-01
19,Aston Villa,5, ,1,0,1,2,2, ,0,0,3,2,7, ,-5,3,2022-Sep-01
20,Leicester City,4, ,0,1,1,3,4, ,0,0,2,3,6, ,-4,1,2022-Sep-01
