Pos,Team,P, ,W,D,L,GF,GA, ,W,D,L,GF,GA, ,GD,Pts
1,Arsenal,16, ,7,0,0,22,8, ,7,1,1,18,6, ,26,43
2,Manchester City,16, ,7,1,1,31,10, ,4,2,1,13,6, ,28,36
3,Newcastle United,17, ,5,4,0,17,5, ,4,3,1,15,6, ,21,34
4,Manchester United,16, ,5,1,1,12,4, ,5,1,3,12,16, ,4,32
5,Tottenham Hotspur,16, ,6,0,2,21,11, ,3,3,2,12,12, ,10,30
6,Liverpool,16, ,6,2,1,23,9, ,2,2,3,10,10, ,14,28
7,Fulham,17, ,4,3,2,16,14, ,3,1,4,13,13, ,2,25
8,Brighton and Hove Albion,16, ,3,2,3,13,10, ,4,1,3,15,14, ,4,24
9,Chelsea,15, ,4,2,1,12,6, ,3,1,4,7,11, ,2,24
10,Brentford,17, ,3,4,1,15,9, ,2,4,3,12,18, ,0,23
11,Crystal Palace,16, ,4,1,3,10,11, ,2,3,3,7,10, ,-4,22
12,Aston Villa,16, ,4,1,3,12,9, ,1,2,5,5,16, ,-8,18
13,Leicester City,17, ,2,2,4,9,9, ,3,0,6,17,21, ,-4,17
14,Leeds United,16, ,3,2,3,13,12, ,1,2,5,10,17, ,-6,16
15,AFC Bournemouth,17, ,3,2,4,9,10, ,1,2,5,9,26, ,-18,16
16,Everton,17, ,2,2,4,7,8, ,1,4,4,6,12, ,-7,15
17,West Ham United,17, ,3,1,5,9,12, ,1,1,6,4,10, ,-9,14
18,Wolverhampton Wanderers,17, ,2,2,5,5,14, ,1,2,5,5,12, ,-16,13
19,Nottingham Forest,16, ,3,2,3,10,11, ,0,2,6,1,22, ,-22,13
20,Southampton,17, ,1,3,4,9,15, ,2,0,7,6,17, ,-17,12
